"RefMetadataComponentId","RefMetadataComponentType","RefMetadataComponentName","MetadataComponentId","MetadataComponentType","MetadataComponentName"
"01p2J000004ReQVQA0","ApexClass","AccountNDAController","01p2J000004ReQWQA0","ApexClass","AccountNDAControllerTest"
"01p2J000004ReQVQA0","ApexClass","AccountNDAController","0662J000001tikWQAQ","ApexPage","AccountNDA"
"01p2J000004RgLrQAK","ApexClass","IMPTechRequestsController","01p2J000004RgLsQAK","ApexClass","IMPTechRequestsControllerTest"
"01p2J000004RgLrQAK","ApexClass","IMPTechRequestsController","0662J000001tj05QAA","ApexPage","IMPTechRequest"
"01p2J000004Rj6EQAS","ApexClass","TaskHandler","01q2J000000DvIOQA0","ApexTrigger","TaskContactActivityCount"
"01p2J000004YkvXQAS","ApexClass","GainsightAtRiskClass","01p2J000004YkvYQAS","ApexClass","TestGainsightAtRiskClass"
"01p2J000004YkvXQAS","ApexClass","GainsightAtRiskClass","0662J000001VDOUQA4","ApexPage","GainsightAtRiskSection"
"01p2J000004Yr1HQAS","ApexClass","EventTriggerHelper","01q2J000000ItFZQA0","ApexTrigger","EventTrigger"
"01p2J000004Yr1JQAS","ApexClass","MassTransactor","01p2J000004Yr1MQAS","ApexClass","MassTransactorTest"
"01p2J000004Yr1KQAS","ApexClass","MassTransactorBatchHelper","01p2J000004Yr1JQAS","ApexClass","MassTransactor"
"01p2J000004Yr1KQAS","ApexClass","MassTransactorBatchHelper","01p2J000004Yr1LQAS","ApexClass","MassTransactorBatchHelperTest"
"01p2J000004Yt2yQAC","ApexClass","MicrobatchSelfRegController","01p2J000004Yt2zQAC","ApexClass","MicrobatchSelfRegControllerTest"
"01p2J000004Yt2yQAC","ApexClass","MicrobatchSelfRegController","0662J000001VFIhQAO","ApexPage","MicrobatchSelfReg"
"01p2J000004g5XBQAY","ApexClass","DNB_LinkageBatchScheduler","08e04000007V8DOAA0","CronTrigger","08e04000007V8DOAA0"
"01p2J000004g8xuQAA","ApexClass","CustomerJourney_Doc_Controller","01p2J000004g8xvQAA","ApexClass","CustomerJourney_Doc_Controller_Test"
"01p2J000004g8xuQAA","ApexClass","CustomerJourney_Doc_Controller","0662J000001xodiQAA","ApexPage","Customer_Journey_Document"
"01p2J000004gAF1QAM","ApexClass","CustomerJourney_Doc_from_Case_Controller","01p2J000004gAF2QAM","ApexClass","CustomerJourney_Doc_from_Case_Test"
"01p2J000004gAF1QAM","ApexClass","CustomerJourney_Doc_from_Case_Controller","0662J000001xooHQAQ","ApexPage","Attach_File_to_Case_and_CER"
"01p2J000004jzbbQAA","ApexClass","OpenCases","01p2J000004jzbcQAA","ApexClass","OpenCasesTest"
"01p2J000004jzbbQAA","ApexClass","OpenCases","0662J0000021woLQAQ","ApexPage","OpenCases"
"01p2J000004k00gQAA","ApexClass","MockHttpResponseGenerator","01p2J000004k00hQAA","ApexClass","Pass_Text_to_SAP_Resolve_test"
"01p2J000004k00iQAA","ApexClass","SAP_Resolve_Text_to_BOOMI","01q2J000000kBJsQAM","ApexTrigger","Pass_Text_to_SAP_Resolve"
"01p2J000004k0aIQAQ","ApexClass","HelperClass","01p2J000004k0aHQAQ","ApexClass","ContactHandler"
"01p2J000004k0aIQAQ","ApexClass","HelperClass","01p2J000004k0aJQAQ","ApexClass","LeadHandler"
"01p2J000004k0aIQAQ","ApexClass","HelperClass","01q50000000IktQAAS","ApexTrigger","Oppty_PCR_Validation"
"01p2J000004k0aJQAQ","ApexClass","LeadHandler","01q2J000000kBOeQAM","ApexTrigger","LeadHandler"
"01p2J000004k0ddQAA","ApexClass","brKnowledgeDataCategoryUtilCtrl","01p2J000004k0deQAA","ApexClass","brKnowledgeDataCategoryUtilCtrlTest"
"01p2J000004k0dfQAA","ApexClass","brKnowledgeDataCategoryUtilHelper","01p2J000004k0ddQAA","ApexClass","brKnowledgeDataCategoryUtilCtrl"
"01p2J000004k0dfQAA","ApexClass","brKnowledgeDataCategoryUtilHelper","01p2J000004k0dgQAA","ApexClass","brKnowledgeDataCategoryUtilHelperTest"
